a,D_gr,D_lss,D_gw,q0_lss,q0_gw
1.439849624060150490e-01,1.438040778915073425e-01,1.344483466662744764e-01,1.437991843358279176e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.464661654135338553e-01,1.462725194939621942e-01,1.367470375094895219e-01,1.462675373045813632e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.489473684210526616e-01,1.487402998649739183e-01,1.390450368776183221e-01,1.487352290140943056e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.514285714285714401e-01,1.512073968793473389e-01,1.413423260028252026e-01,1.512022372166804962e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.539097744360902464e-01,1.536737880606947881e-01,1.436388858525430023e-01,1.536685394001390814e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.563909774436090527e-01,1.561394505814357458e-01,1.459346969829103113e-01,1.561341127866152367e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.588721804511278313e-01,1.586043612627970334e-01,1.482297395778489624e-01,1.585989342556758108e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.613533834586466376e-01,1.610684965748128694e-01,1.505239934501093890e-01,1.610629803460248699e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.638345864661654439e-01,1.635318326363247032e-01,1.528174380412703481e-01,1.635262272555037255e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.663157894736842224e-01,1.659943452150214882e-01,1.551100524217390864e-01,1.659886508410908512e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.687969924812030287e-01,1.684560097942256474e-01,1.574018152907514234e-01,1.684502266189020769e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.712781954887218350e-01,1.709168016359874920e-01,1.596927049763714190e-01,1.709109297641903669e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.737593984962406135e-01,1.733766956789228875e-01,1.619826994354917615e-01,1.733707351113459028e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.762406015037594198e-01,1.758356665410970576e-01,1.642717762538335735e-01,1.758296171549134368e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.787218045112782261e-01,1.782936885200245569e-01,1.665599126568323152e-01,1.782875501396854467e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.812030075187970046e-01,1.807507355926691039e-01,1.688470856828662714e-01,1.807445080826305117e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
1.836842105263158109e-01,1.832067814154438590e-01,1.711332720647958383e-01,1.832004646858621799e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
