k, T, P_m
2.630267991895381408e-01,3.757873964429236935e-02,5.298893115723034498e+03
2.691534803926916575e-01,3.634710412458022621e-02,5.068615756347173374e+03
2.754228703338166273e-01,3.515193417734930464e-02,4.847269782797914559e+03
2.818382931264454827e-01,3.399234841322588963e-02,4.634576744613790652e+03
2.884031503126605611e-01,3.286747669862181975e-02,4.430262570150292959e+03
2.951209226666386964e-01,3.177646054143934418e-02,4.234057790464617938e+03
3.019951720402015982e-01,3.071845344408682260e-02,4.045697739103552067e+03
3.090295432513592289e-01,2.969262122463613499e-02,3.864922728741229093e+03
3.162277660168379412e-01,2.869814230699284721e-02,3.691478205635268296e+03
3.235936569296284371e-01,2.773420798097873258e-02,3.525114882884202871e+03
3.311311214825911065e-01,2.680002263325700906e-02,3.365588853479449881e+03
3.388441561392027679e-01,2.589480395005138574e-02,3.212661684149286884e+03
3.467368504525316641e-01,2.501778309263204270e-02,3.066100490992830146e+03
3.548133892335756934e-01,2.416820484655494983e-02,2.925677997897253135e+03
3.630780547701014105e-01,2.334532774565495350e-02,2.791172578723572769e+03
3.715352290971727922e-01,2.254842417179922162e-02,2.662368284234122711e+03
3.801893963205612570e-01,2.177678043141499653e-02,2.539054854719938248e+03
3.890451449942805007e-01,2.102969680980471337e-02,2.421027719267730390e+03
3.981071705534973137e-01,2.030648760426260677e-02,2.308087982585715508e+03
4.073802778041126227e-01,1.960648113700128731e-02,2.200042400284195537e+03
4.168693834703355305e-01,1.892901974889011490e-02,2.096703343481632601e+03
4.265795188015925610e-01,1.827345977499865784e-02,1.997888753580259618e+03
4.365158322401661017e-01,1.763917150292553318e-02,1.903422088026667780e+03
4.466835921509630380e-01,1.702553911488061122e-02,1.813132257843499019e+03
4.570881896148751844e-01,1.643196061447096609e-02,1.726853557687605417e+03
4.677351412871981196e-01,1.585784773912525883e-02,1.644425589159035553e+03
4.786300923226385340e-01,1.530262585907013646e-02,1.565693178053194060e+03
4.897788193684461389e-01,1.476573386375317799e-02,1.490506286216686249e+03
5.011872336272724660e-01,1.424662403658314563e-02,1.418719918634841179e+03
5.128613839913648276e-01,1.374476191883691745e-02,1.350194026347027375e+03
5.248074602497728725e-01,1.325962616355647050e-02,1.284793405753562411e+03
5.370317963702526676e-01,1.279070838023576608e-02,1.222387594846581123e+03
5.495408738576248453e-01,1.233751297107022263e-02,1.162850766865785090e+03
5.623413251903490728e-01,1.189955695951641461e-02,1.106061621849474022e+03
5.754399373371572590e-01,1.147636981188126376e-02,1.051903276521070438e+03
5.888436553555890240e-01,1.106749325263445619e-02,1.000263152922244444e+03
6.025595860743581111e-01,1.067248107410874794e-02,9.510328661750739911e+02
6.165950018614821948e-01,1.029089894122668311e-02,9.041081117282606101e+02
6.309573444801935826e-01,9.922324191863559489e-03,8.593885524156150950e+02
6.456542290346556356e-01,9.566345633429881867e-03,8.167777056294407885e+02
