z,a,rho_m_over_rho_m0,Omega_m_z,tau_gyr
236.79599499,4.205285290975e-03,1.344663472807e+07,9.999998382790e-01,1.010247576118e+00
235.41927409,4.229773582708e-03,1.321443620315e+07,9.999998354373e-01,1.010247577553e+00
234.04255319,4.254548746266e-03,1.298492627667e+07,9.999998325287e-01,1.010247579023e+00
232.66583229,4.279615852254e-03,1.275808929233e+07,9.999998295511e-01,1.010247580527e+00
231.28911139,4.304980091488e-03,1.253390959384e+07,9.999998265024e-01,1.010247582067e+00
229.91239049,4.330646778573e-03,1.231237152491e+07,9.999998233807e-01,1.010247583644e+00
228.53566959,4.356621355624e-03,1.209345942923e+07,9.999998201836e-01,1.010247585259e+00
227.15894869,4.382909396102e-03,1.187715765052e+07,9.999998169088e-01,1.010247586913e+00
225.78222778,4.409516608811e-03,1.166345053248e+07,9.999998135541e-01,1.010247588607e+00
224.40550688,4.436448842026e-03,1.145232241881e+07,9.999998101169e-01,1.010247590343e+00
223.02878598,4.463712087777e-03,1.124375765324e+07,9.999998065947e-01,1.010247592123e+00
221.65206508,4.491312486298e-03,1.103774057945e+07,9.999998029848e-01,1.010247593946e+00
220.27534418,4.519256330635e-03,1.083425554115e+07,9.999997992845e-01,1.010247595815e+00
218.89862328,4.547550071429e-03,1.063328688206e+07,9.999997954910e-01,1.010247597731e+00
217.52190238,4.576200321880e-03,1.043481894588e+07,9.999997916013e-01,1.010247599696e+00
216.14518148,4.605213862904e-03,1.023883607631e+07,9.999997876123e-01,1.010247601711e+00
214.76846058,4.634597648478e-03,1.004532261706e+07,9.999997835209e-01,1.010247603778e+00
213.39173967,4.664358811201e-03,9.854262911832e+06,9.999997793237e-01,1.010247605898e+00
212.01501877,4.694504668065e-03,9.665641304339e+06,9.999997750172e-01,1.010247608073e+00
210.63829787,4.725042726450e-03,9.479442138283e+06,9.999997705980e-01,1.010247610305e+00
209.26157697,4.755980690361e-03,9.295649757372e+06,9.999997660623e-01,1.010247612596e+00
207.88485607,4.787326466905e-03,9.114248505310e+06,9.999997614063e-01,1.010247614948e+00
206.50813517,4.819088173029e-03,8.935222725804e+06,9.999997566258e-01,1.010247617363e+00
205.13141427,4.851274142527e-03,8.758556762560e+06,9.999997517168e-01,1.010247619843e+00
203.75469337,4.883892933331e-03,8.584234959283e+06,9.999997466748e-01,1.010247622390e+00
202.37797247,4.916953335097e-03,8.412241659680e+06,9.999997414955e-01,1.010247625006e+00
201.00125156,4.950464377103e-03,8.242561207457e+06,9.999997361739e-01,1.010247627694e+00
199.62453066,4.984435336465e-03,8.075177946320e+06,9.999997307053e-01,1.010247630456e+00
198.24780976,5.018875746707e-03,7.910076219975e+06,9.999997250845e-01,1.010247633295e+00
196.87108886,5.053795406676e-03,7.747240372127e+06,9.999997193062e-01,1.010247636214e+00
195.49436796,5.089204389837e-03,7.586654746483e+06,9.999997133648e-01,1.010247639215e+00
194.11764706,5.125113053964e-03,7.428303686749e+06,9.999997072545e-01,1.010247642302e+00
192.74092616,5.161532051241e-03,7.272171536631e+06,9.999997009693e-01,1.010247645477e+00
191.36420526,5.198472338792e-03,7.118242639835e+06,9.999996945029e-01,1.010247648743e+00
189.98748436,5.235945189680e-03,6.966501340066e+06,9.999996878487e-01,1.010247652104e+00
188.61076345,5.273962204371e-03,6.816931981032e+06,9.999996809998e-01,1.010247655564e+00
187.23404255,5.312535322708e-03,6.669518906437e+06,9.999996739491e-01,1.010247659125e+00
185.85732165,5.351676836416e-03,6.524246459988e+06,9.999996666891e-01,1.010247662792e+00
184.48060075,5.391399402155e-03,6.381098985391e+06,9.999996592119e-01,1.010247666569e+00
183.10387985,5.431716055174e-03,6.240060826351e+06,9.999996515094e-01,1.010247670460e+00
181.72715895,5.472640223563e-03,6.101116326576e+06,9.999996435730e-01,1.010247674469e+00
180.35043805,5.514185743173e-03,5.964249829771e+06,9.999996353938e-01,1.010247678600e+00
178.97371715,5.556366873205e-03,5.829445679641e+06,9.999996269624e-01,1.010247682859e+00
177.59699625,5.599198312532e-03,5.696688219893e+06,9.999996182690e-01,1.010247687250e+00
176.22027534,5.642695216774e-03,5.565961794233e+06,9.999996093034e-01,1.010247691779e+00
174.84355444,5.686873216179e-03,5.437250746367e+06,9.999996000548e-01,1.010247696451e+00
173.46683354,5.731748434350e-03,5.310539420001e+06,9.999995905120e-01,1.010247701271e+00
172.09011264,5.777337507863e-03,5.185812158841e+06,9.999995806631e-01,1.010247706246e+00
170.71339174,5.823657606834e-03,5.063053306593e+06,9.999995704959e-01,1.010247711382e+00
169.33667084,5.870726456477e-03,4.942247206962e+06,9.999995599973e-01,1.010247716685e+00
167.95994994,5.918562359721e-03,4.823378203656e+06,9.999995491537e-01,1.010247722162e+00
166.58322904,5.967184220943e-03,4.706430640379e+06,9.999995379509e-01,1.010247727821e+00
165.20650814,6.016611570870e-03,4.591388860839e+06,9.999995263738e-01,1.010247733669e+00
163.82978723,6.066864592746e-03,4.478237208740e+06,9.999995144067e-01,1.010247739714e+00
162.45306633,6.117964149802e-03,4.366960027789e+06,9.999995020330e-01,1.010247745964e+00
161.07634543,6.169931814145e-03,4.257541661692e+06,9.999994892353e-01,1.010247752428e+00
159.69962453,6.222789897118e-03,4.149966454156e+06,9.999994759953e-01,1.010247759116e+00
158.32290363,6.276561481237e-03,4.044218748885e+06,9.999994622937e-01,1.010247766037e+00
156.94618273,6.331270453807e-03,3.940282889586e+06,9.999994481102e-01,1.010247773202e+00
155.56946183,6.386941542299e-03,3.838143219965e+06,9.999994334235e-01,1.010247780620e+00
154.19274093,6.443600351616e-03,3.737784083728e+06,9.999994182109e-01,1.010247788305e+00
152.81602003,6.501273403364e-03,3.639189824581e+06,9.999994024489e-01,1.010247796266e+00
151.43929912,6.559988177243e-03,3.542344786230e+06,9.999993861123e-01,1.010247804518e+00
