T,P_calc,dP_dT
0.015261160559725831,1.0433303892970447,-9.180957671801913
0.015616947279492076,1.04004904336419,-9.26289747979136
0.015981028531608373,1.0366627873118341,-9.337116812670892
0.01635359768829208,1.0331713660956383,-9.404143162896688
0.016734852629888657,1.0295745743719789,-9.46439962980923
0.017124995849970643,1.0258722572458616,-9.51802445741875
0.01752423456288679,1.0220643109899725,-9.564924767608584
0.017932780813818553,1.0181506837334868,-9.604826654019735
0.018350851591402338,1.014131376119254,-9.637321767120778
0.01877866894297734,1.0100064419280046,-9.66191052064698
0.019216460092520045,1.0057759886682247,-9.67804204898885
0.019664457561328504,1.0014401781303697,-9.685151044241906
0.02012289929151978,0.9969992407124595,-9.68269160051426
0.020592028772406713,0.9924548910172504,-9.670168191744347
0.021072095169820875,0.9878115178371341,-9.647163907724684
0.02156335345845049,0.9830737735894758,-9.613366071276332
0.022066064557263544,0.9782462782336329,-9.56858935758841
0.022580495468088064,0.9733336155598703,-9.512796534643757
0.02310691941742314,0.9683403296601649,-9.446116941410914
0.023645616001556034,0.9632709215806323,-9.36886281810859
0.024196871335062396,0.958129846154944,-9.28154360035611
0.024760978202768555,0.9529215090177597,-9.184878286425395
0.025338236215256483,0.9476502637968652,-9.079805984120178
0.02592895196799412,0.9423204094824,-8.967464434229159
0.026533439204175512,0.9369361879712662,-8.848638372445047
0.027152018981357297,0.9315017817845367,-8.723935216451162
0.027785019841980015,0.9260213119554249,-8.593933260133223
0.028432777987864803,0.9204988360851433,-8.45918244657281
0.029095637458778204,0.9149383465637564,-8.3202051520113
0.02977395031515985,0.9093437689529359,-8.177496978133117
0.030468076825110164,0.9037189605273387,-8.031527550172259
0.031178385655737304,0.8980677089711644,-7.882741318498736
0.03190525406896504,0.8923937312262977,-7.731558361490901
0.03264906812190556,0.8867006724883089,-7.578375187645637
0.03341022287190356,0.8809921053464641,-7.423565535020563
0.03418912258636062,0.8752715290638026,-7.267481166240749
0.03498618095745122,0.8695423689932421,-7.110452657436461
0.03580182132184454,0.8638079761256079,-6.952790179608238
0.036636476885548615,0.8580716267654179,-6.794784271040795
0.037490590953996324,0.852336522330216,-6.636706599507916
0.038364617167495514,0.8466057892692056,-6.478810713126379
0.03925901974216813,0.8408824790969268,-6.321332778828141
0.04017427371650645,0.8351695685377007,-6.164492307526341
