T,dP_dT
0.45169909029328065,0.4301559136732231
0.4622296483742272,0.4411387423389056
0.47300570762150146,0.45199052049250954
0.4840329914566169,0.46272502046407077
0.495317356732444,0.4733558385115629
0.5068647968439245,0.48389641149697593
0.518681444911306,0.4943600337145733
0.530773577037588,0.5047598738878668
0.5431476156419097,0.5151089923536657
0.5558101328706495,0.5254203584533882
0.5687678540880483,0.5357068681537029
0.5820276614482106,0.5459813619204914
0.5955965975503807,0.5562566428720908
0.6094818691794338,0.5665454952398188
0.623690851133572,0.5768607031658954
0.6382310901412545,0.5872150698710613
0.6531103088694448,0.5976214372264852
0.668336410025303,0.6080927057669442
0.6839174805535014,0.6186418551847603
0.6998617959313941,0.6292819653466184
0.7161778245643186,0.6400263564450053
0.7328742322833682,0.6509068492205693
0.7499598869480216,0.6619584977681006
0.7674438631560732,0.6732001123939975
0.7853354470633679,0.6846361515475943
0.8036441413159007,0.6962585619293667
0.8223796700968967,0.7080485750089307
0.841551984291557,0.7199784677971099
0.8611712667722103,0.7320132953690911
0.8812479378066792,0.7441126023267752
0.9017926605927318,0.7562321201151686
0.9228163469215601,0.7683254568675423
0.9443301629732922,0.7803457862449183
0.9663455352476179,0.7922475415551755
0.9888741566326669,0.8039881212839185
1.0119279926153917,0.8155296120415695
1.0355192876367145,0.8268405348274682
1.0596605715948437,0.8378976204308048
1.0843646665002005,0.8486876197287765
1.1096446932854935,0.8592091546034486
1.1355140787745588,0.8694746151794994
1.1619865628136654,0.879511917713499
1.1890762055690756,0.889336888733316
1.2167973949947317,0.8989511099513384
1.245164854474043,0.9083552339287623
1.2741936506398237,0.9175490203828176
1.3038992013765407,0.9265313704333583
1.3342972840091187,0.9353003590565135
1.3654040436826531,0.9438532659978216
1.3972360019374808,0.9521866053832887
1.4298100654841637,0.9602961542539646
1.4631435351830442,0.9681769802377771
1.4972541152331444,0.9758234685613767
1.532159922575288,0.9832293485945067
1.5678794965144378,0.9903877201097824
1.6044318085663622,0.9972910794316835
1.641836272533859,1.0039313456398793
1.6801127548178876,1.0102998869836646
1.719281584969087,1.0163875476561866
1.7593635664852851,1.0221846750691828
1.8003799878607303,1.0276811477610996
1.8423526338929181,1.0328664040635904
1.8853037972530158,1.0377294716434777
1.9292562903260293,1.042258998029221
1.9742334573270048,1.0464432822226999
2.0202591866996973,1.0502703074886603
2.06735792380429,1.0537277754054153
2.1155546839009083,1.0568031412512937
2.1648750654358193,1.059483650791886
2.2153452636373765,1.0617563785232351
2.266992084428926,1.0636082674158212
2.319842958666075,1.0650261701933963
2.373925956705868,1.0659968921694554
2.4292698033156244,1.0664946545335516
2.4859038929293424,1.0664778161106006
2.543858305259787,1.065922466038044
2.603163821274537,1.0648216178337981
2.6638519395444935,1.0631836337613727
2.7259548929735153,1.0610305751627491
2.789505665918087,1.0583964798712244
2.8545380117060923,1.0553255679996103
