R_over_R0,f_R,f_RR,m_s2_over_R0,hamiltonian_energy_proxy
19458.370351720852,0.9257587958886059,1.0900000000000004e-06,276620.5419587859,-143642.36193512724
20242.926793745482,0.9246473283360883,1.0900000000000004e-06,276019.12481067446,-143412.83244307453
21059.116970546555,0.9235257417292324,1.0900000000000004e-06,275404.0685722741,-143176.7002632823
21908.216362963372,0.9223940174529002,1.0900000000000004e-06,274774.94239060243,-142933.72737118113
22791.551879068204,0.9212521375084886,1.0900000000000004e-06,274131.29845880857,-142683.66608783923
23710.503927675138,0.9201000845179546,1.0900000000000004e-06,273472.671326235,-142426.25867853704
24666.50857544977,0.9189378417278072,1.0900000000000004e-06,272798.5771806015,-142161.23693458163
25661.059790989737,0.9177653930130663,1.0900000000000004e-06,272108.51310118876,-141888.32173766044
26695.711779382767,0.9165827228811874,1.0900000000000004e-06,271401.9562818532,-141607.2226060017
27772.08141088996,0.9153898164759522,1.0900000000000004e-06,270678.363222655,-141317.6372215788
28891.850747548968,0.9141866595813226,1.0900000000000004e-06,269937.1688888361,-141019.2509375641
30056.769671645183,0.9129732386252579,1.0900000000000004e-06,269177.7858358301,-140711.73626520383
31268.65862015753,0.9117495406834953,1.0900000000000004e-06,268399.6032989368,-140394.75233925134
32529.41142945183,0.9105155534832914,1.0900000000000004e-06,267601.986246235,-140067.94436105876
33840.99829466615,0.909271265407124,1.0900000000000004e-06,266784.2743932531,-139730.94301839045
35205.468848412005,0.9080166654963555,1.0900000000000004e-06,265945.7811778551,-139383.3638809813
36624.955363602494,0.9067517434548532,1.0900000000000004e-06,265085.79269373894,-139024.806770822
38101.67608541074,0.9054764896525689,1.0900000000000004e-06,264203.56658087793,-138654.85510611098
39637.93869756536,0.9041908951290759,1.0900000000000004e-06,263298.3308711711,-138273.07521776768
41236.143928402395,0.9028949515970586,1.0900000000000004e-06,262369.28278749227,-137879.0156373537
42898.78930228328,0.9015886514457748,1.0900000000000004e-06,261415.58749427702,-137472.2063552089
44628.473042306694,0.9002719877444366,1.0900000000000004e-06,260436.37679765202,-137052.15804753394
46427.89813031542,0.8989449542455852,1.0900000000000004e-06,259430.74779313186,-136618.36127114005
48299.876530622874,0.8976075453883945,1.0900000000000004e-06,258397.76145872028,-136170.2856244875
50247.33358401866,0.8962597563019357,1.0900000000000004e-06,257336.44119124007,-135707.3788736068
52273.31257893582,0.8949015828083855,1.0900000000000004e-06,256245.7712835918,-135229.06604142283
54380.97950689616,0.8935330214261992,1.0900000000000004e-06,255124.6953405756,-134734.74845895058
56573.6280097047,0.8921540693732157,1.0900000000000004e-06,253972.11463077596,-134223.80277675026
58854.684526082594,0.8907647245697239,1.0900000000000004e-06,252786.88637195522,-133695.5799349817
61227.71364580229,0.8893649856414712,1.0900000000000004e-06,251567.82194726192,-133149.40409031155
63696.42367968341,0.8879548519226212,1.0900000000000004e-06,250313.68504946976,-132584.57149786173
66264.67245415271,0.8865343234586569,1.0900000000000004e-06,249023.1897503456,-132000.34934630909
68936.47333941686,0.88510340100923,1.0900000000000004e-06,247694.9984921301,-131395.9745441663
71716.0015206809,0.8836620860509512,1.0900000000000004e-06,246327.71999798436,-130770.65245518852
74607.60052218453,0.8822103807801299,1.0900000000000004e-06,244919.90709814942,-130123.55558077208
