# z   H_over_H0
9.120108e+02 1.097630e-03
9.332543e+02 1.072671e-03
9.549926e+02 1.048280e-03
9.772372e+02 1.024443e-03
1.000000e+03 1.001147e-03
1.023293e+03 9.783801e-04
1.047129e+03 9.561306e-04
1.071519e+03 9.343868e-04
1.096478e+03 9.131369e-04
1.122018e+03 8.923699e-04
1.148154e+03 8.720747e-04
1.174898e+03 8.522408e-04
1.202264e+03 8.328575e-04
1.230269e+03 8.139148e-04
1.258925e+03 7.954025e-04
1.288250e+03 7.773110e-04
1.318257e+03 7.596306e-04
1.348963e+03 7.423521e-04
1.380384e+03 7.254664e-04
1.412538e+03 7.089644e-04
1.445440e+03 6.928376e-04
1.479108e+03 6.770773e-04
1.513561e+03 6.616753e-04
1.548817e+03 6.466235e-04
1.584893e+03 6.319138e-04
1.621810e+03 6.175386e-04
1.659587e+03 6.034901e-04
1.698244e+03 5.897611e-04
1.737801e+03 5.763442e-04
1.778279e+03 5.632324e-04
1.819701e+03 5.504187e-04
1.862087e+03 5.378964e-04
1.905461e+03 5.256588e-04
1.949845e+03 5.136995e-04
1.995262e+03 5.020121e-04
2.041738e+03 4.905905e-04
2.089296e+03 4.794286e-04
2.137962e+03 4.685206e-04
2.187762e+03 4.578607e-04
2.238721e+03 4.474431e-04
2.290868e+03 4.372625e-04
2.344229e+03 4.273135e-04
2.398833e+03 4.175907e-04
2.454709e+03 4.080890e-04
2.511886e+03 3.988035e-04
2.570396e+03 3.897291e-04
2.630268e+03 3.808612e-04
2.691535e+03 3.721949e-04
2.754229e+03 3.637258e-04
2.818383e+03 3.554493e-04
2.884032e+03 3.473611e-04
2.951209e+03 3.394569e-04
3.019952e+03 3.317325e-04
3.090295e+03 3.241838e-04
3.162278e+03 3.168068e-04
3.235937e+03 3.095976e-04
3.311311e+03 3.025524e-04
3.388442e+03 2.956675e-04
3.467369e+03 2.889393e-04
3.548134e+03 2.823641e-04
3.630781e+03 2.759384e-04
3.715352e+03 2.696590e-04
3.801894e+03 2.635224e-04
3.890451e+03 2.575255e-04
3.981072e+03 2.516649e-04
4.073803e+03 2.459378e-04
4.168694e+03 2.403409e-04
4.265795e+03 2.348713e-04
4.365158e+03 2.295262e-04
4.466836e+03 2.243027e-04
4.570882e+03 2.191981e-04
4.677351e+03 2.142096e-04
4.786301e+03 2.093346e-04
4.897788e+03 2.045706e-04
5.011872e+03 1.999149e-04
5.128614e+03 1.953652e-04
5.248075e+03 1.909190e-04
5.370318e+03 1.865739e-04
5.495409e+03 1.823277e-04
5.623413e+03 1.781782e-04
5.754399e+03 1.741231e-04
5.888437e+03 1.701602e-04
6.025596e+03 1.662875e-04
6.165950e+03 1.625030e-04
6.309573e+03 1.588046e-04
6.456542e+03 1.551903e-04
6.606934e+03 1.516583e-04
6.760830e+03 1.482066e-04
6.918310e+03 1.448335e-04
7.079458e+03 1.415372e-04
7.244360e+03 1.383158e-04
7.413102e+03 1.351678e-04
7.585776e+03 1.320914e-04
7.762471e+03 1.290850e-04
7.943282e+03 1.261471e-04
8.128305e+03 1.232760e-04
8.317638e+03 1.204702e-04
8.511380e+03 1.177283e-04
8.709636e+03 1.150488e-04
8.912509e+03 1.124302e-04
9.120108e+03 1.098713e-04
9.332543e+03 1.073706e-04
9.549926e+03 1.049268e-04
9.772372e+03 1.025386e-04
1.000000e+04 1.002048e-04
1.023293e+04 9.792405e-05
1.047129e+04 9.569524e-05
1.071519e+04 9.351715e-05
1.096478e+04 9.138863e-05
1.122018e+04 8.930856e-05
1.148154e+04 8.727583e-05
1.174898e+04 8.528935e-05
1.202264e+04 8.334809e-05
1.230269e+04 8.145101e-05
1.258925e+04 7.959711e-05
1.288250e+04 7.778540e-05
1.318257e+04 7.601492e-05
1.348963e+04 7.428474e-05
1.380384e+04 7.259393e-05
1.412538e+04 7.094161e-05
1.445440e+04 6.932689e-05
1.479108e+04 6.774893e-05
1.513561e+04 6.620688e-05
1.548817e+04 6.469992e-05
1.584893e+04 6.322726e-05
1.621810e+04 6.178812e-05
1.659587e+04 6.038174e-05
1.698244e+04 5.900736e-05
1.737801e+04 5.766427e-05
1.778279e+04 5.635174e-05
1.819701e+04 5.506909e-05
1.862087e+04 5.381563e-05
1.905461e+04 5.259071e-05
1.949845e+04 5.139366e-05
1.995262e+04 5.022385e-05
2.041738e+04 4.908067e-05
2.089296e+04 4.796352e-05
2.137962e+04 4.687178e-05
2.187762e+04 4.580490e-05
2.238721e+04 4.476230e-05
2.290868e+04 4.374343e-05
2.344229e+04 4.274775e-05
2.398833e+04 4.177473e-05
2.454709e+04 4.082386e-05
2.511886e+04 3.989464e-05
2.570396e+04 3.898656e-05
2.630268e+04 3.809915e-05
2.691535e+04 3.723194e-05
2.754229e+04 3.638447e-05
2.818383e+04 3.555629e-05
2.884032e+04 3.474695e-05
2.951209e+04 3.395604e-05
3.019952e+04 3.318313e-05
3.090295e+04 3.242782e-05
3.162278e+04 3.168969e-05
3.235937e+04 3.096837e-05
3.311311e+04 3.026347e-05
3.388442e+04 2.957461e-05
3.467369e+04 2.890143e-05
3.548134e+04 2.824357e-05
3.630781e+04 2.760068e-05
3.715352e+04 2.697243e-05
3.801894e+04 2.635848e-05
3.890451e+04 2.575850e-05
3.981072e+04 2.517218e-05
4.073803e+04 2.459921e-05
4.168694e+04 2.403928e-05
4.265795e+04 2.349209e-05
4.365158e+04 2.295735e-05
4.466836e+04 2.243479e-05
4.570882e+04 2.192413e-05
4.677351e+04 2.142508e-05
4.786301e+04 2.093740e-05
