a w(a)
8.5697170573e-05 -1.0310382209e+00
8.6291493169e-05 -1.0310384860e+00
8.6889937482e-05 -1.0310387529e+00
8.7492532094e-05 -1.0310390217e+00
8.8099305789e-05 -1.0310392923e+00
8.8710287550e-05 -1.0310395648e+00
8.9325506561e-05 -1.0310398392e+00
8.9944992206e-05 -1.0310401155e+00
9.0568774076e-05 -1.0310403937e+00
9.1196881966e-05 -1.0310406738e+00
9.1829345878e-05 -1.0310409559e+00
9.2466196020e-05 -1.0310412399e+00
9.3107462813e-05 -1.0310415259e+00
9.3753176887e-05 -1.0310418139e+00
9.4403369083e-05 -1.0310421039e+00
9.5058070458e-05 -1.0310423959e+00
9.5717312285e-05 -1.0310426899e+00
9.6381126052e-05 -1.0310429860e+00
9.7049543466e-05 -1.0310432841e+00
9.7722596453e-05 -1.0310435843e+00
